Parameter,Value
Loan Type,פריים
Interest Rate (%),5.0
Loan Term (months),216
Inflation Rate (%),1.2
Loan Amount,1000000
Channel,פריים
Amortization Method,קרן שווה
Total Monthly Payments,216
Total Mortgage Interest,452083.33
Extraction Timestamp,20250728_094508
Monthly Income,"12,000.00"
Total Investment Amount,"1,139,916.67"
Total Investment Final Value,"2,102,150.28"
Total Investment Profit After Tax,"485,892.54"
Effective Annual Return After Tax,3.00%
Weighted Monthly Payment (30 years),"7,298.50"
Weighted Cost (should be ~0),-0.50
Weighted Investment Profit,"452,082.84"
Weighted Calculation Converged,Yes
